res,treatment_idx,midx
1.632684,1,1
0.9698389,1,1
0.5184931,1,1
0.3031273,1,1
0.5815271,1,1
0.5001287,1,1
0.7322086,1,1
0.9804741,1,1
0.8967201,1,1
0.5084961,1,1
1.959161,1,1
1.552087,1,1
0.8002716,1,1
0.4445401,1,1
0.4229929,1,1
0.4556282,1,1
1.360443,1,1
0.9281418,1,1
0.7590838,1,1
1.221866,1,1
0.2319466,1,1
0.2858833,1,1
0.4428899,1,1
0.4995462,1,1
1.091311,1,1
0.8187743,1,1
0.1042949,1,1
0.8417198,1,1
0.389605,1,1
0.3448861,1,1
0.7610614,1,1
0.5929711,1,1
0.3135149,1,1
0.2328496,1,1
0.1707895,1,1
0.7323847,1,1
0.2216821,1,1
0.3116808,1,1
0.3846143,1,1
0.2505364,1,1
0.7766082,1,1
1.535206,1,1
0.8919815,1,1
0.4541818,1,1
1.097117,1,1
0.5204251,1,1
0.679717,1,1
2.039586,1,1
0.8788143,1,1
0.7368178,1,1
0.9042916,1,1
1.169038,1,1
0.7348052,1,1
0.6399923,1,2
0.6858605,1,2
0.3379913,1,2
0.3372177,1,2
1.012007,1,2
0.4485938,1,2
0.9293868,1,2
0.4559566,1,2
0.7618054,1,2
0.3340023,1,2
0.5059032,1,2
1.105953,1,2
0.3561083,1,2
0.2660119,1,2
0.9807302,1,2
0.944261,1,2
0.3439466,1,2
0.5838263,1,2
0.8746057,1,2
0.6861036,1,2
0.2645658,1,2
0.8068742,1,2
0.3798091,1,2
0.4074828,1,2
1.060595,1,2
0.506725,1,2
0.2977685,1,2
0.7896838,1,2
0.4446815,1,2
0.4772452,1,2
1.1752,1,2
0.799356,1,2
0.7188798,1,2
0.6161177,1,2
1.044402,1,2
0.4758839,1,2
0.3662754,1,2
0.2028597,1,2
0.356082,1,2
0.4133206,1,2
0.1306691,1,2
0.3278823,1,2
1.741996,1,2
0.4179155,1,2
0.3399904,1,2
0.5581092,1,2
1.10389,1,2
0.9419011,1,2
1.273391,1,2
0.8451902,1,3
2.515059,1,3
2.241773,1,3
1.50409,1,3
2.504795,1,3
2.468363,1,3
1.686924,1,3
2.281487,1,3
1.599056,1,3
2.875074,1,3
2.339223,1,3
2.176793,1,3
2.886328,1,3
1.556314,1,3
2.475679,1,3
2.976415,1,3
1.474859,1,3
2.187132,1,3
0.6247617,1,3
2.600812,1,3
2.641034,1,3
2.704735,1,3
1.700515,1,3
1.612582,1,3
1.444435,1,3
2.82705,1,3
2.604911,1,3
1.543809,1,3
1.506114,1,3
1.956126,1,3
1.040397,1,3
2.288503,1,3
1.179612,1,3
2.354662,1,3
1.119179,1,3
1.164554,1,3
2.057946,1,3
1.394166,1,3
2.294305,1,3
1.169878,1,3
2.765994,1,3
2.165191,1,3
2.184479,1,3
2.661316,1,3
1.757699,1,3
1.959918,1,3
2.029394,1,3
0.8086092,1,3
2.350414,1,3
2.320334,1,3
2.159215,1,3
1.994889,1,3
1.756472,1,3
1.865111,1,3
2.547137,1,3
1.204956,1,3
1.758098,1,4
0.429368,1,4
0.3013496,1,4
0.2710423,1,4
0.7994232,1,4
0.8450122,1,4
0.4446438,1,4
1.488992,1,4
1.14239,1,4
0.9312655,1,4
0.5083497,1,4
0.9644551,1,4
0.9458178,1,4
1.638771,1,4
1.860872,1,4
1.346479,1,4
0.8329585,1,4
0.3040128,1,4
0.6057656,1,4
0.3587356,1,4
0.7844598,1,4
0.3966831,1,4
0.567005,1,4
0.5609058,1,4
0.4988534,1,4
0.2358051,1,4
0.7150874,1,4
0.7123554,1,4
1.282269,1,4
0.7891316,1,4
0.4980104,1,4
0.5098466,1,4
0.934323,1,4
0.9265495,1,4
0.3496057,1,4
0.4990124,1,4
1.120972,1,4
1.280006,1,4
0.5026402,1,4
0.9373836,1,4
0.477334,1,4
1.014641,1,4
1.201459,1,4
0.7890406,1,4
0.3705912,1,4
0.7844642,1,4
0.8912195,1,4
0.630055,1,4
0.6110622,1,4
0.8115639,1,4
1.310169,1,4
1.250383,1,4
1.056853,1,5
0.7196596,1,5
0.2414507,1,5
0.379308,1,5
0.3572522,1,5
0.3806779,1,5
0.4414639,1,5
0.4492989,1,5
0.3783395,1,5
0.2815119,1,5
0.7395406,1,5
0.1767328,1,5
0.3587678,1,5
0.3951784,1,5
0.8846251,1,5
0.5349442,1,5
0.2312008,1,5
0.2396512,1,5
0.660051,1,5
0.5511386,1,5
0.7213438,1,5
0.2394366,1,5
0.2604946,1,5
0.4551126,1,5
0.9026011,1,5
0.4733188,1,5
0.3591268,1,5
0.5057336,1,5
0.5096688,1,5
0.7029137,1,5
0.4318064,1,5
0.4785904,1,5
0.3464838,1,5
0.6231708,1,5
0.5484719,1,5
0.6374385,1,5
0.7337304,1,5
0.5144349,1,5
1.171927,1,5
0.3748923,1,5
0.6149719,1,5
1.075574,1,5
0.3825585,1,5
0.1232171,1,5
0.4256907,1,5
1.395134,1,5
0.6302939,1,6
1.266637,1,6
0.9170294,1,6
0.4429466,1,6
0.6469725,1,6
0.8991792,1,6
0.6184779,1,6
0.8012378,1,6
1.053431,1,6
0.8022755,1,6
0.364257,1,6
0.6239556,1,6
0.7367184,1,6
0.6877306,1,6
1.167692,1,6
0.2923029,1,6
0.7499844,1,6
0.8270873,1,6
0.8550461,1,6
0.431815,1,6
0.9199182,1,6
0.4027163,1,6
1.718926,1,6
0.6979101,1,6
2.278243,1,6
0.9421257,1,6
0.7282599,1,6
0.5310662,1,6
0.9179087,1,6
0.5366372,1,6
0.9055535,1,6
0.483403,1,6
1.414491,1,6
1.121795,1,6
0.4379475,1,6
1.188839,1,6
1.847799,1,6
0.9301299,1,6
0.4229438,1,6
0.8494318,1,6
0.8034078,1,6
0.2499686,1,6
1.125044,1,6
0.695982,1,6
0.7091468,1,6
1.268188,1,6
0.2684624,1,6
1.811283,1,7
1.662858,1,7
1.258627,1,7
1.402866,1,7
1.65573,1,7
1.523418,1,7
1.70374,1,7
0.9326603,1,7
1.804378,1,7
1.843733,1,7
1.529931,1,7
0.7682155,1,7
0.9907153,1,7
1.490291,1,7
1.63901,1,7
0.7346057,1,7
